id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
01	gancho	extreme-wide	-	narrator	No começo, não havia terra, nem mar, nem luz. Só um silêncio enorme esperava.	2.7	Absolute primordial void of deep black and indigo emptiness, faint swirling mist with no horizon, tiny luminous dust motes drifting in darkness, vast cinematic scale, mysterious and reverent family-friendly atmosphere	Camera drifts slowly through endless dark mist as faint luminous dust motes float past, the void feels immense and quiet	soft luminous dust motes and subtle nebula wisps	deep quiet void ambience, soft distant resonance	dip-to-black
02	gancho	aerial	-	narrator	A terra estava vazia e sem forma. Escuridão cobria as águas profundas.	1.7	Aerial view over a dark formless ocean under a black sky, heavy fog hugging the water, no land visible, cold blue-black color script, layered mist in foreground midground and background	Camera glides over the dark water surface as fog rolls and the ocean barely moves beneath	volumetric fog banks over black water	deep water rumble, cold wind hush	cut
03	vazio	detail	-	narrator	Mas o Espírito de Deus pairava sobre aquelas águas. Algo grande ia começar.	1.3	Close detail of dark water surface with a soft golden shimmer hovering above the ripples, no human figure, reverent glow reflecting on black waves, intimate sacred framing	Soft golden shimmer drifts above the water while tiny ripples expand outward, light gently brightens	soft golden divine shimmer over water	soft wind over water, gentle resonant tone	light-flash
04	luz	low-angle	-	deus	Haja luz!	2.4	Low-angle view looking upward as a brilliant warm white light bursts through absolute darkness, radiant beams cutting the void, no human figure for God, awe-filled cinematic composition	A sudden radiant light bloom explodes upward through darkness, beams expand and illuminate swirling mist	explosive volumetric light bloom and expanding god-rays	powerful light whoosh, bright resonant chord, silence after	cut
05	luz	extreme-wide	-	narrator	E a luz apareceu! Pela primeira vez, o escuro encontrou o claro.	1.7	Extreme-wide split of creation: half radiant golden light and half deep shadow over a dark ocean, soft mist glowing at the boundary, monumental scale and wonder	Camera pulls back as the light half expands across the dark ocean, mist glows along the dividing edge	expanding light frontier and glowing mist particles	soft light shimmer, distant water, warm tone swell	cut
06	luz	wide	-	deus	A luz é boa. Separe-se a luz das trevas.	1.9	Wide cosmic view of day and night dividing across the primordial waters, warm gold on one side and deep indigo on the other, soft cloud edges forming, reverent color contrast	The golden day side and indigo night side slowly separate across the waters, soft clouds form along the edge	soft separating light bands and cloud edge glow	gentle cosmic wind, soft water, warm presence tone	cut
07	luz	medium	-	narrator	Deus chamou a luz de dia. E chamou a escuridão de noite. Foi o primeiro dia.	1.7	Medium cinematic view of a first soft sunrise over dark waters, warm amber horizon meeting cool night sky, gentle ripples catching first light, hopeful and calm	Soft sunrise light rises over the water while night sky retreats, ripples catch amber highlights	soft sunrise bloom and sparkling water highlights	morning water lapping, soft birds-to-be silence, warm pad	match-cut
08	ceu	aerial	-	deus	Haja um firmamento no meio das águas.	2.0	Aerial view of dark waters beginning to part vertically as a soft blue sky vault forms between upper and lower waters, luminous mist streams, majestic family-friendly creation scale	Camera rises as waters part and a soft blue firmament vault expands between them, mist streams upward and downward	parting water sheets and forming sky vault glow	rising wind, water separation roar softened, airy tone	cut
09	ceu	extreme-wide	-	narrator	Então Deus fez o céu. Águas embaixo. Águas lá em cima. Um espaço aberto no meio.	0.9	Extreme-wide newly formed sky between layered waters, soft blue atmosphere with glowing cloud bands above and deep sea below, vast depth and layered weather	Cloud bands drift apart as the new sky opens, camera slowly pans across the fresh atmosphere	volumetric cloud bands and atmospheric light shafts	open air wind, distant water, soft thunderless rumble	cut
10	ceu	wide	-	deus	Chame-se esse firmamento de céu.	1.7	Wide shot of a clear newborn sky glowing soft turquoise over a calm dark sea, thin luminous clouds stretching like brushstrokes, peaceful grandeur	Thin luminous clouds stretch across the turquoise sky while the camera gently tilts upward	soft cloud luminescence and sky color bloom	airy breeze, calm sea, soft celestial tone	cut
11	ceu	establishing	-	narrator	E veio a tarde, e veio a manhã. Foi o segundo dia.	0.8	Establishing shot of a soft dusk-to-dawn cycle over the new sky and sea, warm peach clouds fading into cool blue morning, quiet and orderly beauty	Light shifts from dusk peach to cool morning blue across sky and sea, clouds drift slowly	gentle day-cycle color shift in clouds	soft dusk wind, quiet water, morning hush	dip-to-black
12	terra	low-angle	-	deus	Águas debaixo do céu, juntem-se num só lugar. Apareça a terra seca!	2.3	Low-angle view of dark waters rushing aside as rugged warm earth rises from the deep, wet stone and sand emerging, dramatic spray kept family-friendly, powerful silhouette of new land	Waters rush aside as rocky land surges upward, spray bursts and wet stone gleams in new light	rushing water sheets, rising land mass, sparkling spray	water surge, rock grind softened, spray splash	cut
13	terra	aerial	-	narrator	As águas se juntaram e formaram os mares. No meio deles, a terra firme apareceu.	1.7	Aerial view of newborn continents surrounded by gathering blue seas, wet sand and stone glistening, soft morning light, rich geographic depth	Camera flies over emerging coastlines as seas gather into basins and wet land glistens	coastal mist and glistening wet earth highlights	ocean gathering roar softened, dripping rock, wind over land	cut
14	terra	wide	-	deus	A terra é boa. Agora brote erva, plantas e árvores com fruto!	1.4	Wide fertile plain of fresh brown earth beginning to sprout tiny green shoots under warm light, distant sea on the horizon, hopeful growth energy	Tiny green shoots push up through fresh soil as the camera tracks low across the plain toward the sea	rapid gentle plant growth sprouts and soft pollen motes	soil soft crackle, sprouting rustle, hopeful tone	cut
15	terra	tracking	-	narrator	Na mesma hora, a terra se encheu de vida verde. Grama, flores e árvores grandes nasceram.	1.6	Tracking shot through a suddenly lush meadow of grass, colorful flowers and young fruit trees, soft sunbeams through leaves, rich foreground midground and background detail	Camera tracks forward through growing grass and flowers as young trees rise and leaves unfurl	accelerated gentle plant growth, unfurling leaves, floating pollen	grass rustle, leaf unfurl, soft bees-to-be ambience, breeze	cut
16	terra	detail	-	narrator	Cada planta tinha sua semente. Cada árvore tinha seu fruto. Foi o terceiro dia.	1.4	Extreme detail of a ripe glowing fruit hanging from a young tree branch with dew drops, soft bokeh garden behind, tactile and beautiful	Dew drops slide slowly on the fruit skin as a leaf trembles in soft wind, camera holds intimate	sparkling dew micro-reflections	soft leaf rustle, tiny water drip, warm quiet tone	match-cut
17	astros	extreme-wide	-	deus	Haja luzes no céu para separar o dia da noite.	1.9	Extreme-wide darkening sky above the new earth as countless star points begin to kindle, soft horizon glow, monumental cosmic wonder kept gentle for children	Stars kindle one by one across the darkening sky while the camera slowly orbits the horizon	twinkling star birth particles and soft cosmic glow	soft stellar chime, quiet night wind, distant sea	light-flash
18	astros	aerial	-	narrator	Deus fez o sol para brilhar de dia. Fez a lua e as estrelas para a noite.	1.7	Aerial cosmic view of a warm golden sun and a soft silver moon hanging over the curved newborn earth, starfield behind, majestic and calm	The golden sun and silver moon settle into place above the curved earth as stars sparkle behind	solar corona glow, lunar soft light, sparkling starfield	warm solar hum, soft lunar hush, gentle space wind stylized	cut
19	astros	wide	-	deus	Sirvam de sinais para dias, estações e anos.	1.7	Wide time-lapse style still of sun arc and moon path over forests and seas, soft seasonal color hints in clouds, orderly beautiful sky clock	Sun and moon arcs glide across the sky while soft seasonal cloud colors shift gently	moving sun/moon light paths and soft seasonal color wash	soft wind cycles, distant waves, calm celestial tone	cut
20	astros	establishing	-	narrator	O céu ficou cheio de luzes. E veio a tarde, e veio a manhã. Foi o quarto dia.	0.8	Establishing night-to-morning sky over a quiet forested coast, bright stars fading as warm dawn returns, peaceful completion of the day	Stars fade as warm dawn returns over the quiet coast, camera slowly descends toward the trees	fading star glitter and dawn bloom	night insects soft, dawn birds distant, gentle surf	cut
21	vida	wide	-	deus	Águas, encham-se de seres vivos. E voem aves sobre a terra!	2.0	Wide ocean surface bursting with colorful friendly fish leaping while bright birds take flight above, sparkling spray, joyful creation energy without fear	Fish leap from sparkling water as flocks of bright birds take flight, camera sweeps with the motion	water splash bursts, flying bird flocks, sparkling spray arcs	water splash, bird wing flaps, joyful ocean ambience	cut
22	vida	underwater-pov	-	narrator	Os mares se encheram de peixes de todas as cores. Criaturas grandes e pequenas nadavam juntas.	1.7	Underwater POV through clear blue sea among colorful friendly fish schools and a gentle large whale silhouette far away, sun rays through water, wonder and safety	Camera glides underwater through fish schools as a gentle whale silhouette passes in the distance, light rays shift	volumetric underwater god-rays and sparkling bubbles	underwater ambience, soft whale call, bubble trails	cut
23	vida	tracking	-	narrator	No céu, pássaros abriram as asas pela primeira vez. O ar ficou cheio de canto.	0.9	Tracking shot following colorful birds soaring over green cliffs and bright sea, wing feathers detailed, joyful sky freedom	Camera tracks beside soaring birds over cliffs as wings beat and feathers catch sunlight	feather light sparkles and soft cloud wisps	bird wing beats, joyful calls, cliff wind	cut
24	vida	medium	-	deus	Frutifiquem e multipliquem-se. Encham as águas e a terra!	1.8	Medium shot of birds nesting on a sunny cliff ledge above a teeming colorful reef edge, abundant life without crowding chaos, warm hopeful light	Birds settle on the ledge while fish swirl in the reef below, soft feathers and water move naturally	soft light bloom over abundant life	bird soft calls, reef water, warm presence tone	cut
25	vida	establishing	-	narrator	Foi o quinto dia. A criação já cantava, nadava e voava.	0.8	Establishing golden-hour panorama of sea, cliffs and sky filled with birds and leaping fish, rich layered life, celebratory calm	Golden light sweeps across sea cliffs and sky as birds circle and fish leap far below	golden volumetric haze and distant water sparkles	evening surf, distant bird chorus, soft celebration tone	dip-to-black
26	humanidade	wide	-	deus	Terra, produza seres vivos: animais domésticos, bichos que rastejam e animais selvagens!	2.1	Wide savanna-like newborn landscape where friendly stylized animals appear among grass and trees: deer, rabbits, elephants kept cute and non-scary, warm daylight	Friendly animals emerge among grass and trees as the camera slowly pushes in, tails and ears move naturally	soft dust motes and warm daylight bloom	animal soft footsteps, grass rustle, distant calls gentle	cut
27	humanidade	tracking	-	narrator	Leões mansos, elefantes grandes, coelhos rápidos e muitos outros animais encheram a terra.	1.5	Tracking shot through a peaceful animal meadow with a gentle lion resting, elephants walking softly, rabbits hopping, family-friendly non-threatening design	Camera tracks through the meadow as rabbits hop past a resting gentle lion and elephants walk softly behind	soft pollen and warm light shafts through trees	soft paws on grass, elephant hush steps, peaceful meadow ambience	cut
28	humanidade	low-angle	-	deus	Façamos o ser humano à nossa imagem. Eles cuidarão de tudo o que Eu criei.	2.4	Low-angle view of a soft clearing in Eden with warm volumetric light pouring from the sky onto rich soil, no human figure yet, sacred expectation and beauty	Warm volumetric light intensifies on the soil clearing as leaves tremble and dust motes rise	intensifying sacred light shaft and floating luminous dust	deep warm resonant presence, soft wind, leaf hush	light-flash
29	humanidade	medium	adam	narrator	Então Deus formou o homem do pó da terra. E soprou nele fôlego de vida.	1.6	Medium shot of Adam newly formed kneeling in soft Eden soil, eyes closed then opening with wonder, warm divine light around him, leaf wrap costume consistent, gentle and sacred	Adam's chest rises with first breath as his eyes open in wonder, soft light wraps around him, leaves tremble	soft luminous breath motes and warm light wrap	soft inhale, soil dust settle, warm sacred tone	cut
30	humanidade	close-up	adam	narrator	Adão abriu os olhos e viu o jardim pela primeira vez. Que lugar lindo Deus tinha feito!	2.0	Close-up of Adam's amazed joyful face looking around Eden, warm brown eyes bright, soft beard, golden garden light on skin, emotional and tender	Adam blinks, smiles with awe, and turns his head slowly taking in the garden light	soft eye-light sparkle and warm facial light shift	soft breath, distant birds, gentle leaf rustle	cut
31	humanidade	over-shoulder	adam	deus	Adão, cuide deste jardim com carinho. E dê nome a todos os animais!	2.2	Over-shoulder shot from behind Adam looking into a lush Eden garden path with friendly animals waiting ahead, rich depth, soft god-light in the canopy, no human figure for God	Adam steps forward along the garden path as friendly animals approach and soft canopy light shifts	canopy god-rays and floating garden pollen	footsteps on soft earth, animal soft sounds, warm presence	cut
32	humanidade	wide	adam	narrator	Adão deu nome a cada animal. Mas ainda sentia que faltava alguém ao seu lado.	1.4	Wide shot of Adam standing among named friendly animals in Eden, gentle smile mixed with quiet longing, golden afternoon light, clear character separation	Adam pets a gentle deer then looks around with soft longing as animals settle near him	soft afternoon haze and floating seeds	animal soft breaths, garden breeze, quiet emotional tone	cut
33	humanidade	medium	adam	deus	Não é bom que o homem esteja só. Vou fazer uma companheira para ele.	1.9	Medium shot of Adam resting in peaceful sleep on soft garden moss under warm dimming light, serene face, sacred quiet atmosphere, no surgical detail	Adam rests into peaceful sleep as warm light softens and leaves sway gently above him	soft dreamlike light dimming and floating motes	soft sleep breath, night garden hush, warm low tone	dip-to-black
34	humanidade	close-up	eva	narrator	Enquanto Adão dormia, Deus formou Eva. Uma pessoa nova, feita com o mesmo cuidado.	1.7	Close-up of Eve awakening with a soft hopeful smile in warm Eden light, long dark wavy hair, kind eyes, leafy wrap costume consistent, tender and beautiful	Eve opens her eyes, breathes softly, and smiles with quiet wonder as light warms her face	soft awakening light bloom around her face	soft inhale, gentle hair movement, warm tone	cut
35	humanidade	two-shot	adam,eva	adam	Você é osso dos meus ossos! Parte de mim! Agora não estou mais sozinho.	1.8	Warm medium two-shot of Adam and Eve meeting in a flower-filled Eden clearing, joyful recognition, consistent costumes and faces, soft golden backlight	Adam and Eve step toward each other with joyful recognition, soft smiles, hair and leaves move in breeze	golden backlight bloom and floating flower petals	soft footsteps, happy breath, garden birds	cut
36	humanidade	two-shot	eva,adam	narrator	E Adão e Eva cuidavam juntos do lindo jardim que Deus tinha dado a eles.	1.8	Medium two-shot of Eve speaking with bright hope beside Adam, fruit trees and flowers framing them, clear eye contact, peaceful partnership	Eve gestures gently to the garden while Adam nods with a warm smile, petals drift past them	drifting petals and soft sun flecks through leaves	soft cloth rustle, birdsong, gentle breeze	cut
37	descanso	aerial	adam,eva	narrator	Deus olhou para tudo o que havia feito. E viu que era muito bom.	1.8	Aerial view of completed Eden: rivers, forests, animals, Adam and Eve tiny in a bright clearing, perfect harmonious world at golden hour	Camera rises over completed Eden as rivers glitter and the tiny couple walks the clearing below	golden-hour volumetric atmosphere and river sparkles	wide nature ambience, distant waterfall, peaceful score bed	cut
38	descanso	extreme-wide	-	deus	No sétimo dia, Eu descanso. Este dia é santo e abençoado.	2.8	Extreme-wide serene dusk over a quiet finished creation, soft purple-gold sky, still waters and resting animals silhouettes, sacred calm without human God figure	Dusk colors deepen while the world grows still, animals settle and water mirrors the sky	soft dusk color wash and gentle star pinpricks beginning	deep restful resonance, quiet wind, still water	cut
39	aplicacao	medium	adam,eva	narrator	Assim começou o mundo. Feito com palavra, cuidado e amor.	1.5	Medium shot of Adam and Eve standing hand in hand under a star-starting sky in Eden, grateful peaceful faces, warm residual sunset light	Adam and Eve stand hand in hand looking upward as first stars appear, soft grateful smiles	first stars twinkling above and soft residual sunset glow	soft night breeze, distant water, warm closing tone	cut
40	aplicacao	close-up	-	narrator	E a mesma voz que disse “haja luz” ainda cuida de você hoje.	3.8	Intimate close-up of a single warm candle-like divine light glowing in gentle darkness with soft bokeh Eden leaves around it, hopeful final image, no text	The warm light pulses softly while surrounding leaves sway and bokeh glows, camera holds reverent and still	soft pulsing divine light and gentle bokeh sparkles	soft final resonance, quiet night garden, fade-ready silence	dip-to-black
