id	act	shot	refs	voice	text	hold	image_prompt	motion_prompt	vfx	sfx	transition
01	gancho	aerial	-	narrator	Lá no mar profundo, um peixe enorme nadava em silêncio. Mas esta história começa bem longe da água.	1.4	Vast deep blue ocean under a dramatic dawn sky, a colossal gentle whale silhouette gliding beneath the surface, volumetric sun rays piercing the water, layered waves in foreground midground and background, cinematic scale and wonder	The camera drifts slowly over the ocean surface as the whale silhouette glides underneath, soft light rays shift through the water, waves roll with natural secondary motion	volumetric god-rays through water and soft bioluminescent particles	deep ocean ambience, distant whale call, gentle surface waves	water-wipe
02	mundo	extreme-wide	jonas	narrator	Jonas morava numa terra quente e seca. Ele gostava de paz, de sombra e de caminhos conhecidos.	1.0	Sunbaked ancient Hebrew hillside village at golden hour, Jonah standing alone on a dusty path with his satchel, olive trees and stone houses in midground, warm desert mountains far away, strong silhouette and depth	Gentle tracking shot follows Jonah walking the dusty path, cloth and satchel sway naturally, heat haze shimmers in the distance	-	dry wind, distant birds, soft footsteps on dust	cut
03	mundo	medium	jonas	jonas	Se Deus me deixar quieto por aqui, eu fico bem. Eu gosto do meu lugar e da minha rotina.	0.8	Medium shot of Jonah resting under an olive tree, soft smile turning slightly stubborn, satchel beside him, warm afternoon light on his face, village rooftops softly blurred behind him	Jonah settles against the tree, looks toward the village with a small stubborn smile, leaves rustle gently around him	-	olive leaves rustling, distant village chatter, soft cloth movement	cut
04	chamado	close-up	jonas	narrator	Mas um dia a voz de Deus chegou até ele. Não era um grito. Era um chamado claro e firme.	0.6	Close-up of Jonah looking upward with sudden alertness, warm volumetric light falling across his face and shoulders, olive leaves glowing at the edges, intimate emotional framing	Jonah lifts his eyes as warm light blooms across his face, his expression shifts from calm to startled attention	soft volumetric divine light bloom across the frame	wind hush, soft resonant tone, cloth shift	light-flash
05	chamado	low-angle	jonas	deus	Jonas, levante-se. Vá até a grande cidade de Nínive e anuncie a minha mensagem ao povo.	1.4	Low-angle view of Jonah standing in a shaft of warm golden light looking upward, no human figure for God, glowing sky and drifting dust motes, reverent cinematic composition	The light shaft intensifies while Jonah listens with a tense face, dust motes swirl slowly in the beam	intensifying golden light shaft and floating luminous dust	deep warm resonant presence, soft wind, distant thunder roll	cut
06	chamado	over-shoulder	jonas	narrator	Nínive era uma cidade enorme e perigosa. Jonas ficou com medo. E também ficou com raiva no coração.	0.6	Over-shoulder shot of Jonah staring toward a distant dark city silhouette on the horizon, stormy amber sky, his shoulders tense, dusty road stretching into depth	Camera holds over Jonah's shoulder as the distant city silhouette shimmers in heat, his shoulders tighten and he turns away	-	distant city murmur, uneasy wind, satchel strap creak	cut
07	chamado	close-up	jonas	jonas	Nínive? Eu não quero ir até lá. Eles não merecem uma chance de Deus!	0.7	Close-up of Jonah looking away with stubborn worry under olive trees, soft stylized animated face, warm golden light, Disney Pixar character look.	Jonah shakes his head once, clenches his jaw, then looks aside with conflicted stubbornness	-	sharp breath, cloth rustle, tense silence under soft wind	smash-cut
08	fuga	wide	jonas	narrator	Então Jonas fez uma escolha errada. Em vez de subir para Nínive, ele desceu correndo para o porto.	0.9	Wide shot of a busy ancient port at Joppa, wooden ships and ropes in foreground, Jonah hurrying down stone steps toward the docks, merchants and crates in midground, sea glittering beyond	Jonah rushes down the stone steps toward the docks, camera tracks with him through ropes and crates, harbor activity moves naturally around him	-	harbor bustle, gulls, wooden crates, footsteps on stone	cut
09	fuga	tracking	jonas,capitao	jonas	Tem um barco saindo daqui? Eu preciso ir bem longe. O mais longe possível desta terra.	0.6	Tracking medium shot of Jonah speaking urgently to a weathered ship captain beside a wooden vessel, ropes and sails framing them, busy dock workers blurred behind, clear character separation	Jonah approaches the captain and speaks quickly, the captain turns with a raised brow, ropes sway and water laps against the hull	-	creaking dock wood, water lapping, distant sailors calling	cut
10	fuga	medium	capitao,jonas	capitao	Tem sim. Este barco vai para Társis. Mas o mar hoje parece inquieto e pesado.	0.7	Medium two-shot of the captain gesturing toward a large wooden ship while Jonah looks eager and nervous, sails half-raised, cloudy sky reflecting on the water, rich dockside detail	The captain points to the ship, Jonah nods quickly and climbs aboard, sails flutter and the deck shifts underfoot	-	sail canvas flap, rope pull, hull creak, soft wave slap	cut
11	fuga	aerial	jonas	narrator	Jonas pagou a passagem, entrou no barco e se escondeu lá embaixo. Ele queria fugir de Deus.	0.7	Aerial view of a wooden ship leaving the harbor into open sea, tiny figure of Jonah disappearing below deck, coastline shrinking behind, soft late-day light on the water	The ship pulls away from harbor as the camera rises, Jonah disappears below deck, wake trails across the water	soft sea spray mist along the wake	ship leaving harbor, gulls fading, deep hull ambience	dip-to-black
12	tempestade	extreme-wide	-	narrator	Mas ninguém foge de Deus. No meio do caminho, o vento mudou de verdade. O céu ficou escuro.	1.3	Extreme-wide stormy seascape, towering dark clouds over a tiny wooden ship, violent waves rising like walls, cold blue and slate color script, terrifying scale kept family-friendly	Massive waves rise around the tiny ship as the camera pushes through spray, clouds churn and lightning flickers far away	volumetric storm clouds, distant lightning, heavy rain sheets and sea spray	rising wind, thunder roll, heavy rain, crashing waves	cut
13	tempestade	low-angle	capitao	capitao	Segurem as cordas com força! Esta tempestade não é comum. Alguém precisa orar agora!	1.3	Low-angle deck shot of the captain shouting orders in driving rain, sailors gripping ropes behind him, tilted mast and whipping sails, water streaming across wood planks	The deck pitches hard as the captain shouts and grips a rope, rain lashes sideways, sails whip violently	rain streaks, water spray bursts, lightning flash reflections on wet wood	shouting through wind, rope strain, thunder crack, deck splash	cut
14	tempestade	medium	jonas	narrator	Enquanto todos lutavam no convés, Jonas dormia no porão. O medo dos outros não o acordava.	0.6	Dim below-deck cabin where Jonah sleeps curled on cargo sacks, lantern swinging, water dripping through boards, storm motion felt through the room, intimate and tense	The lantern swings with the ship's roll while Jonah sleeps, water drips, cargo shifts slightly around him	swinging lantern light and dripping water droplets	muffled storm above, creaking hull, dripping water, soft snore	cut
15	tempestade	close-up	capitao,jonas	capitao	Jonas, acorde agora! Como você consegue dormir? Levante e peça ajuda ao seu Deus!	0.6	Close two-shot of the soaked captain shaking Jonah awake in the dim cabin, urgent faces, swinging lantern light, water on their clothes, strong emotional contrast	The captain shakes Jonah awake, Jonah sits up startled, lantern light swings across their wet faces	-	urgent footsteps on wood, cloth grab, sudden gasp, storm muffled above	cut
16	tempestade	over-shoulder	jonas,capitao	jonas	A culpa é minha. Eu estou fugindo do Senhor. Joguem-me no mar e a tempestade vai parar.	1.3	Over-shoulder from the captain toward Jonah confessing on the storm-lashed deck, rain on Jonah's face, terrified sailors behind, dramatic rim light from lightning	Jonah speaks with guilt and courage mixed, rain streaks his face, sailors react with shock behind him	lightning rim light flashes across wet faces	heavy rain, distant thunder, shocked murmurs, rope slap	cut
17	tempestade	wide	capitao,jonas	narrator	Os marinheiros não queriam fazer aquilo. Eles remaram com toda a força. Mas o mar só piorava.	0.6	Wide deck shot of sailors rowing desperately while the captain holds Jonah back from the rail, enormous wave rising behind the ship, rain and spray everywhere, clear action staging	Sailors heave at oars as a huge wave rises behind the ship, the captain pulls Jonah back, spray explodes across the deck	towering wave crest, explosive sea spray and rain sheets	oars straining, wave roar, shouted effort, hull slam	cut
18	tempestade	extreme-close-up	jonas	jonas	Façam o que eu pedi. Eu sei que esta tempestade veio por minha causa.	0.7	Extreme close-up of Jonah's wet stylized face in the storm, large expressive animated eyes, simplified rain streaks, Disney Pixar look, not photoreal.	Jonah blinks through rain, steadies his breath, and nods once with quiet resolve	tiny rain droplets catching lightning reflections	close rain hits, soft breath, distant thunder	water-wipe
19	peixe	wide	jonas	narrator	Então eles jogaram Jonas no mar. Na mesma hora, as águas começaram a se acalmar.	1.4	Wide cinematic splash as Jonah falls into dark stormy water beside the ship, sailors watching from the rail, rain still falling but waves beginning to soften, dramatic yet non-graphic	Jonah hits the water in a big splash, the camera follows the impact, then the surrounding waves gradually settle	explosive splash, settling wave energy, rain thinning into mist	body splash, sudden wave hush, rain softening, relieved gasps	cut
20	peixe	POV	-	narrator	Lá embaixo, na escuridão da água, algo enorme se aproximou. Um grande peixe abriu a boca.	1.5	Underwater POV looking into deep blue-black water as a colossal gentle whale approaches with mouth opening, shafts of storm light above, bubbles and particles drifting, awe without horror	The camera drifts underwater as the whale approaches and the mouth opens slowly, bubbles stream past, light shafts flicker from the storm above	underwater caustics, bubble streams, soft bioluminescent particles	underwater pressure rumble, muffled thunder, massive gentle whoosh	dip-to-black
21	peixe	extreme-wide	-	narrator	Jonas foi engolido. Por três dias e três noites, ele ficou dentro daquele peixe enorme.	1.6	Surreal interior of a vast whale belly like a dark living cavern, Jonah tiny on a wet ledge, soft bioluminescent glow along the walls, water pooled below, mysterious and safe for children	Slow push into the cavernous whale interior reveals tiny Jonah on a ledge, walls pulse gently with living light, water ripples below	bioluminescent wall glow and drifting moisture particles	deep living heartbeat ambience, dripping water, distant muffled ocean	cut
22	oracao	medium	jonas	jonas	Senhor, eu fugi. Eu errei. Do fundo deste lugar escuro, eu clamo a ti com o coração.	1.4	Medium shot of Jonah praying inside the glowing fish belly, clasped hands, soft stylized tears, bioluminescent cartoon cave, Disney Pixar look.	Jonah kneels, presses his hands together, and looks upward through tears of relief, soft light pulses on the walls	gentle pulsing biolight responding to his prayer	soft prayer breath, dripping water, warm low resonance	cut
23	oracao	close-up	jonas	jonas	Eu lembrei de ti. A salvação vem do Senhor. Eu quero obedecer de verdade.	0.7	Close-up of Jonah's humble hopeful smile in soft bioluminescent light, stylized animated face, simplified water sheen on beard, Disney Pixar look, not photoreal.	A tear slips down Jonah's cheek as a small hopeful smile forms, his eyes stay lifted	-	single water drop, soft inhale, warm ambient tone	light-flash
24	oracao	low-angle	jonas	narrator	Então o Senhor falou ao peixe. E o peixe vomitou Jonas em terra firme.	1.3	Low-angle beach landing as Jonah is gently deposited onto wet sand by a massive whale at the shoreline, morning light breaking through clouds, family-friendly and wondrous not gross	The whale releases Jonah onto the sand, he rolls safely onto the beach, morning light breaks through clouds over the water	morning light break through clouds and sea spray halo	massive water surge, soft sand thud, gulls, relieved ocean hush	cut
25	oracao	wide	jonas	narrator	Jonas caiu na areia, cansado e molhado. Mas ele estava vivo. Deus tinha lhe dado outra chance.	1.3	Wide beach shot of soaked Jonah sitting up on wet sand, huge gentle whale departing into glittering morning sea behind him, fresh air and hope in the color script	Jonah sits up slowly on the sand while the whale turns and swims away into sparkling morning water	sparkling morning sea glitter and soft mist	shore waves, distant whale call fading, wet cloth drip	match-cut
26	missao	medium	jonas	deus	Jonas, levante-se outra vez. Vá a Nínive e anuncie a mensagem que eu te dei.	1.0	Medium shot of Jonah standing on the beach looking upward into warm morning light, wet robe clinging, renewed resolve on his face, ocean behind him	Jonah stands, lifts his face into the light, then turns inland with renewed purpose	warm divine morning light wash	soft wind, resonant warm presence, footsteps starting on sand	cut
27	missao	tracking	jonas	jonas	Desta vez eu vou. Mesmo com medo no peito, eu vou até Nínive.	0.6	Tracking shot of Jonah walking a long dusty road toward a massive ancient city skyline, robe drying in the sun, determined stride, layered desert landscape	Camera tracks beside Jonah as he walks with firm steps toward the distant city, dust lifts from his sandals, robe flutters	-	steady footsteps, dry wind, distant city hum growing	cut
28	missao	extreme-wide	jonas	narrator	Nínive era tão grande que levava dias para atravessar. Jonas entrou pelos portões e começou a falar.	0.6	Extreme-wide establishing shot of enormous Nineveh with towering walls, busy streets, banners and markets, tiny Jonah entering the gate, epic scale with clear depth layers	Slow aerial drift over Nineveh's walls reveals tiny Jonah entering the gate, banners flutter and crowds move through the streets	heat haze over stone walls and subtle dust motes in sunbeams	city gate bustle, market murmur, banners in wind	cut
29	missao	wide	jonas	jonas	Daqui a quarenta dias, Nínive será destruída! Mudem de caminho enquanto ainda há tempo!	0.7	Wide street scene of Jonah proclaiming with raised hands in a crowded Nineveh square, people stopping to listen, market stalls and stone architecture framing the action	Jonah steps into the square and proclaims with raised hands, people stop and turn toward him in a ripple of attention	-	crowd hush spreading, footsteps stopping, tense city ambience	cut
30	missao	medium	jonas	narrator	Para a surpresa de Jonas, o povo ouviu. Eles acreditaram em Deus e ficaram tristes pelo mal que tinham feito.	0.9	Medium crowd reaction shot of Ninevite families looking moved and serious, some kneeling, soft remorseful expressions, Jonah visible blurred in background, warm compassionate lighting	People kneel and bow their heads in a wave of repentance, Jonah watches in stunned silence from behind	-	soft weeping, cloth kneeling, quiet city wind	cut
31	missao	over-shoulder	rei_ninive	narrator	A notícia chegou até o rei. Ele se levantou do trono, tirou o manto real e se humilhou diante de Deus.	0.6	Over-shoulder palace shot of the King of Nineveh rising from a golden throne and removing his crimson robe, servants watching in awe, shafts of light through high windows	The king stands, removes his royal robe, and kneels on the stone floor as light pours through the windows	volumetric palace light shafts	robe fabric drop, throne room hush, soft knee on stone	cut
32	missao	close-up	rei_ninive	rei_ninive	Que cada um se arrependa do mal. Quem sabe Deus se arrepende e ainda nos poupa?	0.8	Close-up of the humbled King of Nineveh kneeling without his crown, sincere pleading eyes, soft window light on his face, regal yet repentant	The king looks upward with sincere pleading eyes and speaks softly, his hands open in surrender	-	quiet palace ambience, soft breath, distant city bells	cut
33	missao	aerial	-	narrator	Deus viu o que eles fizeram. Ele viu que mudaram de verdade. E não destruiu a cidade.	1.5	Aerial view of Nineveh at peaceful sunset, people gathered in open courtyards, warm orange light replacing earlier tension, banners still, city breathing with relief	Camera drifts over the calmed city as warm sunset light spreads, people gather quietly in courtyards	warm sunset god-rays washing over the city	relieved crowd murmur, soft evening wind, distant hopeful music bed tone	light-flash
34	resolucao	medium	jonas	jonas	Eu sabia! Eu sabia que tu és Deus bondoso e compassivo. Por isso eu fugi no começo!	0.7	Medium shot of Jonah sitting outside the city under a makeshift shelter, arms crossed, conflicted frustrated expression, Nineveh glowing peacefully in the background	Jonah crosses his arms and looks toward the peaceful city with frustrated conflict, then glances upward	-	dry wind, cloth shelter flap, distant peaceful city	cut
35	resolucao	close-up	jonas	narrator	Jonas ficou aborrecido. Ele queria justiça dura. Mas o coração de Deus queria misericórdia.	0.9	Close-up of Jonah frowning under the shelter while a soft plant grows beside him, contrasting cool shade and warm city glow behind, emotional interior conflict	Jonah scowls then notices a leafy plant growing quickly beside him, his face softens for a moment	magical rapid plant growth with soft green sparkles	soft plant unfurling, breeze, quiet wonder tone	cut
36	resolucao	wide	jonas	narrator	Deus fez crescer uma planta para dar sombra a Jonas. No dia seguinte, a planta secou de repente.	0.6	Wide shot of Jonah under a withering plant at harsh noon, bright heat haze around him, dried leaves falling, Nineveh still peaceful in the distance	The plant withers and drops leaves while Jonah flinches from the sudden heat, heat haze intensifies	heat haze and crumbling leaf particles	leaves crisping, hot wind, frustrated sigh	cut
37	resolucao	over-shoulder	jonas	deus	Tu tens pena desta planta. E eu não teria pena de Nínive, com tanta gente e tantas crianças?	1.6	Over-shoulder of Jonah looking toward glowing Nineveh while warm divine light surrounds him, no God figure, compassionate atmosphere, city full of tiny family figures in the distance	Warm light surrounds Jonah as he looks from the dead plant to the living city, his posture slowly softens	soft compassionate divine light enveloping Jonah and the distant city	warm resonant voice presence, soft wind, distant children laughing faintly	cut
38	resolucao	medium	jonas	narrator	Jonas entendeu. O amor de Deus é maior do que a nossa raiva.	1.3	Final medium shot of Jonah standing peacefully overlooking Nineveh at golden sunset, gentle smile of understanding beginning, warm wind in his robe, hopeful cinematic ending frame	Jonah breathes out and begins to smile softly as warm sunset light settles across his face	golden sunset particles drifting in the wind	warm evening wind, distant peaceful city	cut
39	resolucao	close-up	jonas	narrator	Esse amor alcança até quem a gente acha que não merece. E também alcança a gente.	2.1	Intimate close-up of Jonah's peaceful understanding smile at golden sunset, soft wind moving a few hair strands, Nineveh bokeh lights behind him, warm hopeful finale	Jonah holds the gentle smile, eyes soft with understanding, as golden light flares softly and the frame settles	soft golden light flare and drifting dust motes	hopeful resolve ambience, soft wind, quiet heartfelt hold	dip-to-black
